,ISO3,GDP,UrubPop,UrbPercent
0,AGO,67404287260.3199,23276246.0,67.46
1,BDI,2779813489.02447,1764450.0,14.058
2,BEN,17144918952.4682,6364839.0,48.972
3,BFA,19737615114.3661,6904253.0,31.24
4,BWA,17614791265.6824,1852275.0,71.56
5,CAF,2516498299.01212,2327367.0,42.648
6,CIV,70043191477.0454,14338150.0,52.18
7,CMR,45338283344.8175,15815458.0,58.148
8,COD,55350968593.0597,44336645.0,46.235
9,COG,13366230219.5352,3984863.0,68.283
10,COM,1296089632.60039,243308.0,29.613
11,CPV,1936174043.45293,394509.0,67.102
12,ERI,2065001626.01626,1519988.0,41.985
13,ETH,111271112329.975,26671558.0,22.174
14,GAB,20216843173.9702,2116964.0,90.423
15,GHA,77594279054.8795,19038233.0,57.985
16,GIN,16091817842.2342,5042529.0,37.264
17,GMB,2038417462.37695,1669008.0,63.222
18,GNB,1638517533.16504,919432.0,44.617
19,KEN,110347079517.356,15102890.0,28.493
20,LBR,3509000000.0,2730335.0,52.573
21,LSO,2496134680.31694,672573.0,29.48
22,MDG,14472603322.5571,11336960.0,39.207
23,MLI,19140461605.8227,9786489.0,44.677
24,MOZ,15776758632.8573,12069961.0,37.628
25,MRT,9996249658.23982,2590523.0,56.133
26,MUS,11529042672.3528,516236.0,40.775
27,MWI,12626717491.8941,3519490.0,17.695
28,NAM,12310595843.9353,1341107.0,53.005
29,NER,14915001426.9724,4230083.0,16.751
30,NGA,440833583992.485,112560662.0,52.746
31,RWA,11070356519.4804,2364984.0,17.568
32,SDN,34326058557.4418,16250768.0,35.593
33,SEN,27625388352.1688,8202086.0,48.6
34,SLE,4042237864.28942,3652200.0,43.372
35,SOM,7628000011.46184,7974917.0,46.731
36,SSD,11997800760.2242,2204901.0,20.514
37,STP,526653790.670814,167493.0,75.073
38,SWZ,4743335152.94181,290545.0,24.369
39,SYC,1454458183.85981,57542.0,57.972
40,TCD,11779980801.7843,4085514.0,23.781
41,TGO,8413200567.6151,3748225.0,43.358
42,TZA,67841049193.3855,22862550.0,35.954
43,UGA,40529789025.5702,11717016.0,25.553
44,ZAF,419015018371.887,40295863.0,67.847
45,ZMB,22147634727.3584,8800295.0,45.192
46,ZWE,28371238665.5116,5166388.0,32.303
